si.no, entrance exams, location, institute name, college name, type, year of inspection of college, fees(approx)
25,MBBS,Andhra Pradesh,"P E S Institute Of Medical Sciences and Research, Kuppam",Dr. YSR University of Health Sciences,Trust,2001,150
26,MBBS,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,200
27,MBBS,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,250
28,MBBS,Andhra Pradesh,"Santhiram Medical College, Nandyal",Dr. YSR University of Health Sciences,Trust,2005,150
29,MBBS,Andhra Pradesh,"Sri Balaji Medical College, Hospital and Research Institute, Chittoor",Dr. YSR University of Health Sciences,Trust,,150
30,MBBS,Andhra Pradesh,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,2014,175
31,MBBS,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,240
32,MBBS,Andhra Pradesh,"Viswabharathi Medical College, Kurnool",Dr. YSR University of Health Sciences,Society,2014,250
33,MBBS,Arunachal Pradesh,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun",Rajiv Gandhi University,Govt.,2018,100
34,MBBS,Assam,"All India Institute of Medical Sciences, Guwahati","Statutory Autonomous, AIIMS (Guwahati)",Govt.,,50
35,MBBS,Assam,"Assam Medial College, Dibrugarh",Srimanta Shankardeva University of Health Sciences,Govt.,1947,200
36,MBBS,Assam,"Dhubri Medical College, Dhubri",Srimanta Shankardeva University of Health Sciences,Govt.,,100
37,MBBS,Assam,"Diphu Medical College & Hospital, Diphu, Assam",Srimanta Shankardeva University of Health Sciences,Govt.,2020,100
38,MBBS,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam",Srimanta Shankardeva University of Health Sciences,Govt-Society,2012,125
39,MBBS,Assam,"Gauhati Medical College, Guwahati",Srimanta Shankardeva University of Health Sciences,Govt.,1960,200
40,MBBS,Assam,"Jorhat Medical College & Hospital , Jorhat",Srimanta Shankardeva University of Health Sciences,Govt.,2010,125
41,MBBS,Assam,Kokrajhar Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2023,100
42,MBBS,Assam,Lakhimpur Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2021,100
43,MBBS,Assam,Nagaon Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2023,100
44,MBBS,Assam,"Nalbari Medical College, Nalbari",Srimanta Shankardeva University of Health Sciences,Govt.,2023,100
45,MBBS,Assam,"Silchar Medical College, Silchar",Srimanta Shankardeva University of Health Sciences,Govt.,1968,125
46,MBBS,Assam,"Tezpur Medical College & Hospital, Tezpur",Srimanta Shankardeva University of Health Sciences,Govt.,2014,125
47,MBBS,Assam,Tinsukia Medical College,Srimanta Shankardeva University of Health Sciences,Govt.,2024,100
48,MBBS,Bihar,"All India Institute of Medical Sciences, Patna","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125
49,MBBS,Bihar,"Anugrah Narayan Magadh Medical College, Gaya","Aryabhatta Knowledge University, Patna",Govt.,1970,120
50,MBBS,Bihar,"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri (Formely known as Vardhman Institute of Medical Sciences, Pawapuri)","Aryabhatta Knowledge University, Patna",Govt.,2013,120
51,MBBS,Bihar,"Darbhanga Medical College, Lehriasarai","Aryabhatta Knowledge University, Patna",Govt.,1946,120
52,MBBS,Bihar,"Employees State Insurance Corporation Medical College,Patna","Aryabhatta Knowledge University, Patna",Govt.,2021,100
53,MBBS,Bihar,"Government Medical College, Bettiah","Aryabhatta Knowledge University, Patna",Govt.,2013,120
54,MBBS,Bihar,"Government Medical College, Purnea","Aryabhatta Knowledge University, Patna",Govt.,2023,100
55,MBBS,Bihar,"Himalaya Medical College and Hospital, Patna",Bihar University of Health Sciences,Trust,2024,100
56,MBBS,Bihar,"Indira Gandhi Institute of Medical Sciences,Sheikhpura, Patna","Indira Gandhi Instt of Medical Sciences (Deemed University), Patna",Govt.,2011,150
57,MBBS,Bihar,"Jannayak Karpoori Thakur Medical College & Hospital, Madhepura, Bihar","Aryabhatta Knowledge University, Patna",Govt.,2020,100
58,MBBS,Bihar,"Jawaharlal Nehru Medical College, Bhagalpur","Aryabhatta Knowledge University, Patna",Govt.,1971,120
59,MBBS,Bihar,"Katihar Medical College, Katihar","Al-Karim University, Katihar",Trust,1987,150
60,MBBS,Bihar,"Lord Buddha Koshi Medical College and Hospital, Saharsa",B.N. Mandal University,Trust,2019,150
61,MBBS,Bihar,"Madhubani Medical College, Madhubani","Aryabhatta Knowledge University, Patna",Trust,2019,150
62,MBBS,Bihar,"Mata Gujri Memorial Medical College, Kishanganj","Mata Gujri University, Bihar",Trust,1990,150
63,MBBS,Bihar,"Nalanda Medical College, Patna","Aryabhatta Knowledge University, Patna",Govt.,1970,150
64,MBBS,Bihar,"Narayan Medical College & Hospital, Sasaram",Gopal Narayan Singh University,Trust,2008,250
65,MBBS,Bihar,"Netaji Subhas Medical College & Hospital, Amhara, Bihta, Patna","Aryabhatta Knowledge University, Patna",Society,2020,100
66,MBBS,Bihar,"Patna Medical College, Patna","Aryabhatta Knowledge University, Patna",Govt.,1925,200
67,MBBS,Bihar,Radha Devi Jageshwari Memorial Medical College and Hospital,"Aryabhatta Knowledge University, Patna",Society,2021,150
68,MBBS,Bihar,Shree Narayan Medical Institute and Hospital,"Bhupendra Narayan Mandal University, Madhepura",Trust,2021,150
69,MBBS,Bihar,"Shri Krishna Medical College, Muzzafarpur","Aryabhatta Knowledge University, Patna",Govt.,1970,120
70,MBBS,Chandigarh,"Government Medical College, Chandigarh",Punjab University,Govt.,1991,150
71,MBBS,Chattisgarh,"Abhishek I Mishra Memorial Medical College & Research, Bhiali","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Private,2024,100
72,MBBS,Chattisgarh,"All India Institute of Medical Sciences, Raipur","Statutory Autonomous, AIIMS(Raipur)",Govt.,2012,125
73,MBBS,Chattisgarh,"Chandulal Chandrakar Memorial Govt. Medical College, Durg","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2013,200
74,MBBS,Chattisgarh,"Chhattisgarh Institute of Medical Sciences, Bilaspur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2001,150
75,MBBS,Chattisgarh,"Government Medical College (Bharat Ratna Shri Atal Bihari Vajpyee Memorial Med. Col.), Rajnandgaon","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2014,125
76,MBBS,Chattisgarh,"Government Medical College, Kanker","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2021,125
77,MBBS,Chattisgarh,"Government Medical College, Korba","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,,125
78,MBBS,Chattisgarh,"Government Medical College, Mahasamund","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2022,125
79,MBBS,Chattisgarh,"Late Shri Baliram Kashyap Memorial NDMC Govt.,Medical College, Jagdalpur","Pt.Ravishankar Shukla University (Prev.Ravishankar University),Raipur",Govt.,2006,125
80,MBBS,Chattisgarh,"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2013,100
81,MBBS,Chattisgarh,"Pt. J N M Medical College, Raipur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,1963,230
82,MBBS,Chattisgarh,"Raipur Institute of Medical Sciences (RIMS), Raipur","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Society,2016,150
83,MBBS,Chattisgarh,"Rajmata Shrimati Devendra kumari Singhdeo Government Medical College, Surguja ( C.G.)","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Govt.,2016,125
84,MBBS,Chattisgarh,Shri Balaji Institute of Medical Science,Pandit Deendayal Upadhyay Memorial Health Science & Ayush University of Chattisgarh,Society,2021,150
85,MBBS,Chattisgarh,Shri Rawatpura Sarkar Institute of Medical Sciences and Research,Pandit Deendayal Upadhyay Memorial Health Science & Ayush University of Chattisgarh,Trust,2024,150
86,MBBS,Chattisgarh,"Shri Shankaracharya Institute of Medical Sciences, Bhilai","Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",Society,2016,150
87,MBBS,Dadra and Nagar Haveli,"NAMO Medical Education and Research Institute, Silvassa",Veer Narmad South Gujarat University,Govt.,2019,177
88,MBBS,Delhi,"All India Institute of Medical Sciences, New Delhi","Statutory Autonomous, AIIMS(New Delhi)",Govt.,1956,132
89,MBBS,Delhi,"Army College of Medical Sciences, New Delhi",Guru Gobind Singh Indraprastha University,Trust,2008,100
90,MBBS,Delhi,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi",Guru Gobind Singh Indraprastha University,Govt.,2008,100
91,MBBS,Delhi,"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",Guru Gobind Singh Indraprastha University,Govt.,2016,125
92,MBBS,Delhi,"Hamdard Institute of Medical Sciences & Research, New Delhi",University of Jamia Hamdard (Hamdard University),Society,2012,150
93,MBBS,Delhi,"Lady Hardinge Medical College, New Delhi",Delhi University,Govt.,1916,240
94,MBBS,Delhi,"Maulana Azad Medical College, New Delhi",Delhi University,Govt.,1958,250
95,MBBS,Delhi,"North Delhi Muncipal Corporation Medical College, Delhi",Guru Gobind Singh Indraprastha University,Govt.,2013,60
96,MBBS,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",Delhi University,Govt.,1971,170
97,MBBS,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",Guru Gobind Singh Indraprastha University,Govt.,2002,170
98,MBBS,Goa,"Goa Medical College, Panaji",Goa University,Govt.,1963,200
99,MBBS,Gujarat,"All India Institute of Medical Sciences, Rajkot","Statutory Autonomous, AIIMS (Rajkot)",Govt.,,50
100,MBBS,Gujarat,Ananya College of Medicine & Research,Gujarat University,Trust,2023,150
101,MBBS,Gujarat,"Banas Medical College and Research Institute, Palanpur, Gujarat","Hemchandracharya North Gujarat University,Patan",Trust,2018,200
102,MBBS,Gujarat,Bhagyoday Medical College,"Hemchandracharya North Gujarat University,Patan",Trust,2024,100
103,MBBS,Gujarat,"B J Medical College, Ahmedabad",Gujarat University,Govt.,1946,250
104,MBBS,Gujarat,"CU Shah Medical College, Surendra Nagar",Saurashtra University,Trust,2000,100
105,MBBS,Gujarat,Dr.Kiran C.Patel Medical College and Research Institute,Veer Narmad South Gujarat University,Trust,2020,200
106,MBBS,Gujarat,"Dr. M.K. Shah Medical College & Research Centre, Ahmedabad",Gujarat University,Trust,2017,250
107,MBBS,Gujarat,"Dr. N.D. Desai Faculty of Medical Science and Research, Nadiad","Dharmsinh Desai University, Nadiad",Private,2019,150
108,MBBS,Gujarat,"GCS Medical College, Ahmedabad",Gujarat University,Trust,2011,150
109,MBBS,Gujarat,"GMERS Medical College, Dharpur Patan","Hemchandracharya North Gujarat University,Patan",Govt-Society,2012,200
110,MBBS,Gujarat,"GMERS Medical College, Gandhinagar",Gujarat University,Govt-Society,2012,200
111,MBBS,Gujarat,"GMERS Medical College, Gotri, Vadodara",MS University of Baroda,Govt-Society,2011,200
112,MBBS,Gujarat,"GMERS Medical College, Hadiyol, Himmatnagar","Hemchandracharya North Gujarat University,Patan",Govt-Society,2015,200
113,MBBS,Gujarat,"GMERS Medical College, Junagadh","Bhakta Kavi Narsing Mehta University, Bikha Roa, Khadia",Govt-Society,2015,200
114,MBBS,Gujarat,"GMERS Medical College, Navsari",Veer Narmad South Gujarat University,Govt.,2022,100
115,MBBS,Gujarat,"GMERS Medical College, Rajpipla",Veer Narmad South Gujarat University,Govt.,2022,100
116,MBBS,Gujarat,"GMERS Medical College, Sola, Ahmedabad",Gujarat University,Govt-Society,2011,200
117,MBBS,Gujarat,"GMERS Medical College, Vadnagar, Mehsana","Hemchandracharya North Gujarat University,Patan",Govt-Society,2017,200
118,MBBS,Gujarat,"GMERS Medical College, Valsad",Veer Narmad South Gujarat University,Govt-Society,2012,200
119,MBBS,Gujarat,"Government Medical College, Bhavnagar",Maharaja Krishnakumarsinghji Bhavnagar University,Govt.,1995,200
120,MBBS,Gujarat,"Government Medical College, Morbi","Saurashtra University, Rajkot",Govt.,2022,100
121,MBBS,Gujarat,"Government Medical College, Panchmahal Godhra","Shri Govind Guru University, Godhara",Govt.,2022,100
122,MBBS,Gujarat,"Government Medical College, Porbandar","Bhakta Kavi Narsing Mehta University, Bikha Roa, Khadia",Govt.,2022,100
123,MBBS,Gujarat,"Government Medical College, Surat",Veer Narmad South Gujarat University,Govt.,1964,250
124,MBBS,Gujarat,"Gujarat Adani Institute of Medical Sciences, Bhuj","KSKV Kachchh University, Bhuj",Trust,2009,150
125,MBBS,Gujarat,"Kiran Medical College, Surat",Veer Narmad South Gujarat University,Trust,2023,150
126,MBBS,Gujarat,"Medical College, Baroda",MS University of Baroda,Govt.,1949,250
127,MBBS,Gujarat,"MP Shah Medical College,Jamnagar",Saurashtra University,Govt.,1955,250
128,MBBS,Gujarat,"Narendra Modi Medical College, Ahmedabad (Formely known as Ahmedabad Muncipal Coporation Medical Edu. Trust Medical College)",Gujarat University,Govt.,2009,200
129,MBBS,Gujarat,"Nootan Medical College and Research Centre, Mehsana",Sankalchand Patel University,Trust,2019,150
130,MBBS,Gujarat,"Pandit Deendayal Upadhyay Medical College, Rajkot",Saurashtra University,Govt.,1995,200
131,MBBS,Gujarat,"Parul Institute of Medical Sciences & Research, Vadodara","Parul University, Vadodara",Private,2016,150
132,MBBS,Gujarat,"Pramukhswami Medical College, Karmsad",Bhaikaka University,Trust,1987,150
133,MBBS,Gujarat,"SAL Institute of Medical Sciences, Ahmedabad",Gujarat University,Trust,2023,150
134,MBBS,Gujarat,"SBKS Medical Instt. & Research Centre, Vadodra","Sumandeep Vidyapeeth University (Deemed), Vadodra",Trust,2002,250
135,MBBS,Gujarat,"Shantabaa Medical College, Amreli",Saurashtra University,Trust,2019,200
136,MBBS,Gujarat,"Smt. N.H.L.Municipal Medical College, Ahmedabad",Gujarat University,Govt.,1963,250
137,MBBS,Gujarat,"Surat Municipal Institute of Medical Education & Research, Surat",Veer Narmad South Gujarat University,Govt.,1999,250
138,MBBS,Gujarat,Swaminayaran Institute of Medical Sciences & Research,Swaminayaran University,Trust,2023,150
139,MBBS,Gujarat,"Zydus Medical College & Hospital, Dahod","Shri Govind Guru University, Godhara",Trust,2018,200
140,MBBS,Haryana,"Adesh Medical College and Hospital, Shahabad, Kurukshetra, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Society,2017,150
141,MBBS,Haryana,"Al Falah School of Medical Sciences & Research Centre, Faridabad",Al-Falah University,Private,2019,150
142,MBBS,Haryana,"Amrita School of Medicine, Faridabad","Amrita Vishwa Vidyapeetham University (Deemed), Coimbatore",Trust,2023,150
143,MBBS,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,120
144,MBBS,Haryana,"Employees State Insurance Corporation Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2015,125
145,MBBS,Haryana,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical College & R Centre,Gurgaon)","SGT University, Gurugram",Trust,2010,150
146,MBBS,Haryana,"Kalpana Chawala Govt. Medical College, Karnal, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2017,120
147,MBBS,Haryana,"Maharaja Agrasen Medical College, Agroha","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2002,100
148,MBBS,Haryana,"Maharishi Markandeshwar College of Medical Sciences & Research, Sadopur","Maharishi Marakandeshwar University (Deemed), Ambala",Private,2023,150
149,MBBS,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,200
150,MBBS,Haryana,"N.C. Medical College & Hospital, Panipat","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,150
151,MBBS,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,250
152,MBBS,Haryana,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2013,120
153,MBBS,Haryana,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,,100
154,MBBS,Haryana,"World College of Medical Sciences & Researc, Jhajjar, Haryana","PT. B.D. Sharma University of Health Sciences, Rohtak",Trust,2016,150
155,MBBS,Himachal Pradesh,"All India Institute of Medical Sciences, Bilaspur","Statutory Autonomous, AIIMS (Bilaspur)",Govt.,,50
156,MBBS,Himachal Pradesh,"Dr. Radhakrishnan Government Medical College, Hamirpur, H.P",Himachal Pradesh University,Govt.,2018,120
157,MBBS,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,120
158,MBBS,Himachal Pradesh,"Government Medical College, Nahan, Sirmour H.P.",Himachal Pradesh University,Govt.,2016,120
159,MBBS,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,120
160,MBBS,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,150
161,MBBS,Himachal Pradesh,"Pt. Jawahar Lal Nehru Government Medical College, Chamba",Himachal Pradesh University,Govt.,2017,120
162,MBBS,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP",Himachal Pradesh University,Govt.,2017,120
163,MBBS,Jammu & Kashmir,"Acharya Shri Chander College of Medical Sciences, Jammu",Jammu University,Trust,1995,100
164,MBBS,Jammu & Kashmir,"All India Institute of Medical Sciences, Vijaypur","Statutory Autonomous, AIIMS (Vijaypur)",Govt.,,62
165,MBBS,Jammu & Kashmir,"Government Medical College, Anantnag",Kashmir University,Govt.,2019,100
166,MBBS,Jammu & Kashmir,"Government Medical College, Baramulla",Kashmir University,Govt.,2019,100
167,MBBS,Jammu & Kashmir,"Government Medical College, Handwara",University of Kashmir,Govt.,2023,100
168,MBBS,Jammu & Kashmir,"Government Medical College, Jammu",Jammu University,Govt.,1972,180
169,MBBS,Jammu & Kashmir,"Government Medical College, Kathua",Jammu University,Govt.,2019,100
170,MBBS,Jammu & Kashmir,"Government Medical College, Rajouri, J&K",Jammu University,Govt.,2019,100
171,MBBS,Jammu & Kashmir,"Government Medical College, Srinagar",Kashmir University,Govt.,1959,180
172,MBBS,Jammu & Kashmir,"Government Medical College, Udhampur",University of Jammu,Govt.,2023,100
173,MBBS,Jammu & Kashmir,"Govt. Medical College, Doda, Kashmir",Kashmir University,Govt.,2020,100
174,MBBS,Jammu & Kashmir,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar","Deemed University, Jammu & Kashmir",Govt.,1988,125
175,MBBS,Jharkhand,"All India Institute of Medical Sciences, Deoghar","Statutory Autonomous, AIIMS(Deoghar)",Govt.,2019,125
176,MBBS,Jharkhand,"Dumka Medical College, Dighi Dumka",Sidho Kanhu Murmu University,Govt.,2019,100
177,MBBS,Jharkhand,"Hazaribagh Medical College, Hazaribagh","Binod Bihati Mahto Koyalanchal University, Dhanbad",Govt.,2019,100
178,MBBS,Jharkhand,Laxmi Chandravansi Medical College & Hospital,"Ramchandra Chandravansi University, Bishrampur, Palamu",Trust,2021,100
179,MBBS,Jharkhand,"Manipal Tata Medical College,Baridih Jameshedpur","Manipal University, Manipal",Trust,2020,150
180,MBBS,Jharkhand,"M G M Medical College, Jamshedpur","Kolhan University, Chaibasa",Govt.,1961,100
181,MBBS,Jharkhand,"Palamu Medical College, Palamu",Nilamber-Pitamber University,Govt.,2019,100
182,MBBS,Jharkhand,"Rajendra Institute of Medical Sciences, Ranchi",Ranchi University,Govt.,1960,180
183,MBBS,Jharkhand,"Shahed Nirmal Mahto Medical College & Hospital, Dhanbad","Binod Bihati Mahto Koyalanchal University, Dhanbad",Govt.,1969,100
184,MBBS,Karnataka,Adichunchanagiri Institute of Medical Sciences Bellur,Adichunchanagiri University,Trust,1985,250
185,MBBS,Karnataka,"A J Institute of Medical Sciences & Research Centre, Mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,200
186,MBBS,Karnataka,"Akash Institute of Medical Sciences & Research Centre, Devanhalli, Bangalore, Karnataka","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,150
187,MBBS,Karnataka,"Al-Ameen Medical College,Bijapur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1984,150
188,MBBS,Karnataka,"Bangalore Medical College and Research Institute, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1955,250
189,MBBS,Karnataka,"Basaveswara Medical College and Hospital, Chitradurga","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1999,150
190,MBBS,Karnataka,"Belagavi Institute of Medical Sciences, Belagavi","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2006,150
191,MBBS,Karnataka,"BGS Global Institute of Medical Sciences, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2013,150
192,MBBS,Karnataka,BGS Medical College and Hospital,Adichunchanagiri University,Private,2024,150
193,MBBS,Karnataka,"Bidar Institute of Medical Sciences,Bidar","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2007,150
194,MBBS,Karnataka,"Chamrajanagar Institute of Medical Sciences, Karnataka","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2016,150
195,MBBS,Karnataka,Chikkaballapura Institute of Medical Sciences,"Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2021,100
196,MBBS,Karnataka,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,,150
197,MBBS,Karnataka,Chitradurga Medical College and Research Institute,"Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2023,150
198,MBBS,Karnataka,"Dr BR Ambedkar Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1980,150
199,MBBS,Karnataka,"Dr. Chandramma Dayananda Sagar Instt. of Medical Education & Research, Harohalli, Hubli","Dayananda Sagar University, Bangalore",Trust,2020,150
200,MBBS,Karnataka,"East Point College of Medical Sciences & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2017,150
201,MBBS,Karnataka,"Employees State Insurance Corporation Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2012,150
202,MBBS,Karnataka,"Employees State Insurance Corporation Medical College, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2013,150
203,MBBS,Karnataka,"Father Mullers Medical College, Mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1999,150
204,MBBS,Karnataka,"Gadag Institute of Medical Sciences, Mallasamudra, Mulgund Road, Gadag","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2015,150
205,MBBS,Karnataka,G R Medical College Hospital & Research Centre,"Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2021,150
206,MBBS,Karnataka,"Gulbarga Institute of Medical Sciences, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2015,150
207,MBBS,Karnataka,"Hassan Institute of Medical Sciences, Hassan","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2006,150
208,MBBS,Karnataka,"Haveri Institute of Medical Sciences, Haveri","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2022,150
209,MBBS,Karnataka,Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,"KLE Academy of Higher Education & Research (Deemed), Belgaum",Trust,2021,150
210,MBBS,Karnataka,"Jawaharlal Nehru Medical College, Belgaum","KLE Academy of Higher Education & Research (Deemed), Belgaum",Trust,1963,200
211,MBBS,Karnataka,"JJM Medical College, Davangere","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1965,245
212,MBBS,Karnataka,"JSS Medical College, Mysore","JSS Academy of Higher Education & Research, Mysuru (formerly known as JSS University, Mysore)",Trust,1984,250
